Ticker,FX
DRI.DE,EUR=X
III.L,GBP=X
MAERSK-B.CO,DKK=X
A2A.MI,EUR=X
AALB.AS,EUR=X
ARL.DE,EUR=X
ABBN.VX,CHF=X
ABN.AS,EUR=X
AC.PA,EUR=X
ACKB.BR,EUR=X
OCI1.BE,EUR=X
ADEN.VX,CHF=X
ADS.DE,EUR=X
ADM.L,GBP=X
W7LF.EX,EUR=X
AGN.AS,EUR=X
AENA.MC,EUR=X
AGS.BR,EUR=X
AGK.L,GBP=X
AD.AS,EUR=X
A5G.IR,EUR=X
AF.PA,EUR=X
AI.PA,EUR=X
AIR.PA,EUR=X
AKERBP.OL,NOK=X
AKZA.AS,EUR=X
ALFA.ST,SEK=X
ALV.DE,EUR=X
ALO.PA,EUR=X
ATE.PA,EUR=X
ATC.AS,EUR=X
ALT.PA,EUR=X
AMS.MC,EUR=X
0MJF.IL,DKK=X
AMEAS.HE,EUR=X
AMS.SW,CHF=X
AEEM.PA,EUR=X
ANDR.VI,EUR=X
NGLB.MU,GBP=X
ABI.BR,EUR=X
ANTO.L,GBP=X
ISC1.F,EUR=X
ARGX.BR,EUR=X
V1SF.EX,EUR=X
AT1.DE,EUR=X
AHT.L,GBP=X
ASM.AS,EUR=X
ASML.AS,EUR=X
ASRNL.AS,EUR=X
ASSA-B.ST,SEK=X
G.MI,EUR=X
ABF.L,GBP=X
ZEG.HM,GBP=X
ATL.MI,EUR=X
ATCO-A.ST,SEK=X
ATO.SE,EUR=X
NDA.DE,EUR=X
AUTO.L,GBP=X
AV.L,GBP=X
CS.PA,EUR=X
BME.L,GBP=X
BAB.L,GBP=X
BA.L,GBP=X
BBY.L,GBP=X
BALN.VX,CHF=X
BAMI.MI,EUR=X
BIRG.IR,EUR=X
BKIA.MC,EUR=X
BKT.MC,EUR=X
BARC.L,GBP=X
BDEV.L,GBP=X
BARN.SW,CHF=X
BASE.DE,EUR=X
BAYN.DE,EUR=X
BION.SW,CHF=X
BBA.L,GBP=X
BBVA.MC,EUR=X
BCP.LS,EUR=X
SAB.MC,EUR=X
SAN.MC,EUR=X
BESI.AS,EUR=X
